Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion
2,1,2,8,4,4,0.554817276
2,1,4,2,3,3,0.340175953
2,1,3,6,3,2,0.126146789
2,1,1,2,1,2,0.315614618
2,1,3,2,2,3,0.065753425
2,1,2,1,0,3,0.333948339
2,1,4,8,1,1,0.526490066
2,1,1,3,1,1,0.109634551
2,1,2,8,1,1,0.439655172
2,1,4,3,2,2,0.357142857
2,1,1,4,1,1,0.190625
2,1,4,6,4,4,0.463576159
2,1,2,3,2,2,0.297546012
2,1,4,2,2,2,0.24702381
6,1,1,2,4,5,0.703703704
6,1,4,4,4,4,0.59912854
6,1,2,6,1,1,0.707635009
6,1,1,6,4,5,0.671641791
6,1,2,3,3,3,0.624020888
6,1,4,4,2,2,0.702549575
6,1,3,6,1,2,0.485632184
6,1,1,6,2,3,0.557009346
6,1,4,2,4,3,0.639511202
6,1,2,8,2,2,0.665413534
6,1,4,3,4,4,0.594936709
6,1,1,2,2,4,0.627840909
6,1,2,2,2,4,0.660091047
6,1,1,2,3,3,0.768
6,1,3,3,4,3,0.617314931
6,1,1,6,1,2,0.411552347
6,1,2,2,4,5,0.376777251
6,1,1,6,3,4,0.615906887
6,1,2,4,4,4,0.718309859
6,1,4,4,1,2,0.717717718
6,1,3,8,2,3,0.576119403
6,1,2,6,2,2,0.424242424
6,1,3,4,4,3,0.522633745
6,1,4,6,3,4,0.711538462
6,1,3,2,1,3,0.629310345
6,1,2,4,1,2,0.587473002
6,1,3,6,4,3,0.559251559
6,1,4,4,3,3,0.822429907
6,1,3,1,0,5,0.611464968
6,1,4,1,0,5,0.393665158
6,1,3,6,2,1,0.525816649
6,1,1,3,3,3,0.430127042
6,1,3,3,2,1,0.552631579
6,1,1,8,3,3,0.65407855
6,1,2,3,1,1,0.53313253
6,1,3,4,1,1,0.55075846
6,1,2,8,3,4,0.3
6,1,4,8,4,5,0.664850136
6,1,2,4,2,2,0.306695464
6,1,3,3,3,3,0.578461538
6,1,2,2,3,5,0.788273616
6,1,3,8,4,5,0.609090909
6,1,1,3,2,2,0.643431635
6,1,4,6,2,2,0.631578947
6,1,1,4,3,5,0.529411765
6,1,4,8,2,3,0.697368421
6,1,1,3,4,5,0.652631579
6,1,4,8,1,2,0.593650794
6,1,1,8,1,2,0.670731707
6,1,2,8,1,1,0.658227848
6,1,4,3,3,3,0.614084507
6,1,1,4,1,1,0.336661912
6,1,2,6,3,3,0.769444444
6,1,1,4,4,4,0.73125
6,1,3,6,3,3,0.598574822
6,1,1,3,1,1,0.471193416
6,1,4,3,2,2,0.52238806
6,1,2,2,1,3,0.635542169
6,1,3,2,2,4,0.602758621
6,1,4,6,4,4,0.641791045
6,1,3,3,1,1,0.537790698
6,1,1,8,4,4,0.336273429
6,1,4,6,1,2,0.589861751
6,1,2,1,0,5,0.56684492
6,1,3,2,3,5,0.288636364
6,1,4,3,1,1,0.561561562
6,1,3,2,4,5,0.694117647
6,1,2,3,4,4,0.689440994
6,1,3,8,3,4,0.50843061
6,1,4,2,2,3,0.591054313
6,1,1,8,2,3,0.740384615
6,1,3,4,2,2,0.421383648
6,1,1,4,2,2,0.520920502
6,1,4,2,3,4,0.441358025
6,1,2,3,2,2,0.316348195
