DoF,Content,Codec,Rate,DMOS,CILow,CIHigh,HRScore,HRCILow,HRCIHigh
1,1,1,1,2.76,2.22338637397671,3.29661362602329,4.16,3.75276120623144,4.56723879376856
1,1,2,1,1.84,1.43276120623144,2.24723879376856,4.16,3.75276120623144,4.56723879376856
1,1,1,2,2.96,2.44775384823533,3.47224615176467,4.16,3.75276120623144,4.56723879376856
1,1,2,2,2.4,1.9086938712787,2.8913061287213,4.16,3.75276120623144,4.56723879376856
1,1,1,3,4.28,3.70210840274415,4.85789159725585,4.16,3.75276120623144,4.56723879376856
1,1,2,3,3.84,3.38344747522659,4.29655252477341,4.16,3.75276120623144,4.56723879376856
1,1,1,4,4.88,4.41360154439359,5.34639845560641,4.16,3.75276120623144,4.56723879376856
1,1,2,4,4.44,3.97726921695883,4.90273078304117,4.16,3.75276120623144,4.56723879376856
1,2,1,1,2.72,2.2356796220653,3.2043203779347,4.2,3.8047935138876,4.5952064861124
1,2,2,1,1.88,1.47908626560961,2.28091373439039,4.2,3.8047935138876,4.5952064861124
1,2,1,2,3,2.44109362740203,3.55890637259797,4.2,3.8047935138876,4.5952064861124
1,2,2,2,3,2.46710368283688,3.53289631716312,4.2,3.8047935138876,4.5952064861124
1,2,1,3,4.56,4.08217293733381,5.03782706266619,4.2,3.8047935138876,4.5952064861124
1,2,2,3,3.8,3.24109362740203,4.35890637259797,4.2,3.8047935138876,4.5952064861124
1,2,1,4,4.56,4.03950458739476,5.08049541260524,4.2,3.8047935138876,4.5952064861124
1,2,2,4,4.32,3.83275672058892,4.80724327941109,4.2,3.8047935138876,4.5952064861124
1,3,1,1,2.36,1.93235278062305,2.78764721937695,4.6,4.22318540046462,4.97681459953538
1,3,2,1,1.56,1.11287490192163,2.00712509807837,4.6,4.22318540046462,4.97681459953538
1,3,1,2,2.52,1.94704351955668,3.09295648044332,4.6,4.22318540046462,4.97681459953538
1,3,2,2,2.12,1.63862027085226,2.60137972914774,4.6,4.22318540046462,4.97681459953538
1,3,1,3,3.84,3.38344747522659,4.29655252477341,4.6,4.22318540046462,4.97681459953538
1,3,2,3,3.6,3.13849825175357,4.06150174824643,4.6,4.22318540046462,4.97681459953538
1,3,1,4,4.64,4.10870477704299,5.17129522295701,4.6,4.22318540046462,4.97681459953538
1,3,2,4,4.44,3.90603895386892,4.97396104613108,4.6,4.22318540046462,4.97681459953538
1,4,1,1,2.76,2.34243229327994,3.17756770672006,3.36,2.94928937194354,3.77071062805646
1,4,2,1,2.72,2.33351237661601,3.10648762338399,3.36,2.94928937194354,3.77071062805646
1,4,1,2,3.8,3.3086938712787,4.2913061287213,3.36,2.94928937194354,3.77071062805646
1,4,2,2,3.84,3.38344747522659,4.29655252477341,3.36,2.94928937194354,3.77071062805646
1,4,1,3,4.44,3.97726921695883,4.90273078304117,3.36,2.94928937194354,3.77071062805646
1,4,2,3,4.48,4.04838687918579,4.91161312081422,3.36,2.94928937194354,3.77071062805646
1,4,1,4,5.04,4.60250542999231,5.47749457000769,3.36,2.94928937194354,3.77071062805646
1,4,2,4,4.64,4.19606186412617,5.08393813587383,3.36,2.94928937194354,3.77071062805646
2,1,1,1,3.03846153846154,2.48487642153751,3.59204665538556,3.92307692307692,3.4531093323371,4.39304451381674
