Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion,Playback
2,1,2,8,3,3,0.311258278,Adaptive
2,1,3,2,1,2,0.173267327,Naïve
2,1,4,1,0,5,0.395445135,Naïve
2,1,3,6,1,1,0.118483412,Adaptive
2,1,4,4,4,3,0.23255814,Adaptive
2,1,3,4,1,1,0.172757475,Adaptive
2,1,2,4,4,5,0.276008493,Adaptive
2,1,3,8,4,3,0.111111111,Adaptive
2,1,1,2,4,3,0.430501931,Naïve
2,1,1,3,4,3,0.281045752,Naïve
2,1,4,8,2,2,0.409326425,Adaptive
2,1,2,6,3,4,0.297029703,Adaptive
2,1,4,6,1,1,0.382051282,Adaptive
2,1,3,2,4,4,0.256267409,Naïve
2,1,1,3,2,1,0.431677019,Naïve
2,1,3,2,3,5,0.415902141,Naïve
2,1,1,8,1,2,0.246411483,Adaptive
2,1,2,3,4,3,0.31372549,Naïve
2,1,4,8,3,3,0.526639344,Adaptive
2,1,1,4,2,1,0.422222222,Adaptive
2,1,4,6,2,2,0.487730061,Adaptive
2,1,2,4,3,1,0.467692308,Adaptive
2,1,3,8,3,3,0.361471861,Adaptive
2,1,1,4,4,3,0.307042254,Adaptive
2,1,4,3,3,2,0.162251656,Naïve
2,1,3,4,3,2,0.147590361,Adaptive
2,1,1,1,0,4,0.36119403,Naïve
2,1,3,8,1,2,0.340425532,Adaptive
2,1,1,8,2,3,0.346268657,Adaptive
2,1,2,6,4,4,0.296178344,Adaptive
2,1,1,8,4,3,0.255813953,Adaptive
2,1,3,3,1,1,0.132022472,Naïve
2,1,4,3,1,1,0.404867257,Naïve
2,1,2,2,1,2,0.265780731,Naïve
2,1,1,4,3,2,0.325513196,Adaptive
2,1,3,4,2,1,0.308539945,Adaptive
2,1,4,2,1,2,0.198019802,Naïve
2,1,2,8,4,4,0.554817276,Adaptive
2,1,4,2,3,3,0.340175953,Naïve
2,1,3,6,3,2,0.126146789,Adaptive
2,1,1,2,1,2,0.315614618,Naïve
2,1,3,2,2,3,0.065753425,Naïve
2,1,2,1,0,3,0.333948339,Naïve
2,1,4,8,1,1,0.526490066,Adaptive
2,1,1,3,1,1,0.109634551,Naïve
2,1,2,8,1,1,0.439655172,Adaptive
2,1,4,3,2,2,0.357142857,Naïve
2,1,1,4,1,1,0.190625,Adaptive
2,1,4,6,4,4,0.463576159,Adaptive
2,1,2,3,2,2,0.297546012,Naïve
2,1,4,2,2,2,0.24702381,Naïve
6,1,1,2,4,5,0.703703704,Naïve
6,1,4,4,4,4,0.59912854,Adaptive
6,1,2,6,1,1,0.707635009,Adaptive
6,1,1,6,4,5,0.671641791,Adaptive
6,1,2,3,3,3,0.624020888,Naïve
6,1,4,4,2,2,0.702549575,Adaptive
6,1,3,6,1,2,0.485632184,Adaptive
6,1,1,6,2,3,0.557009346,Adaptive
6,1,4,2,4,3,0.639511202,Naïve
6,1,2,8,2,2,0.665413534,Adaptive
6,1,4,3,4,4,0.594936709,Naïve
6,1,1,2,2,4,0.627840909,Naïve
6,1,2,2,2,4,0.660091047,Naïve
6,1,1,2,3,3,0.768,Naïve
6,1,3,3,4,3,0.617314931,Naïve
6,1,1,6,1,2,0.411552347,Adaptive
6,1,2,2,4,5,0.376777251,Naïve
6,1,1,6,3,4,0.615906887,Adaptive
6,1,2,4,4,4,0.718309859,Adaptive
6,1,4,4,1,2,0.717717718,Adaptive
6,1,3,8,2,3,0.576119403,Adaptive
6,1,2,6,2,2,0.424242424,Adaptive
6,1,3,4,4,3,0.522633745,Adaptive
6,1,4,6,3,4,0.711538462,Adaptive
6,1,3,2,1,3,0.629310345,Naïve
6,1,2,4,1,2,0.587473002,Adaptive
6,1,3,6,4,3,0.559251559,Adaptive
6,1,4,4,3,3,0.822429907,Adaptive
6,1,3,1,0,5,0.611464968,Naïve
6,1,4,1,0,5,0.393665158,Naïve
6,1,3,6,2,1,0.525816649,Adaptive
6,1,1,3,3,3,0.430127042,Naïve
6,1,3,3,2,1,0.552631579,Naïve
6,1,1,8,3,3,0.65407855,Adaptive
6,1,2,3,1,1,0.53313253,Naïve
6,1,3,4,1,1,0.55075846,Adaptive
6,1,2,8,3,4,0.3,Adaptive
6,1,4,8,4,5,0.664850136,Adaptive
6,1,2,4,2,2,0.306695464,Adaptive
6,1,3,3,3,3,0.578461538,Naïve
6,1,2,2,3,5,0.788273616,Naïve
6,1,3,8,4,5,0.609090909,Adaptive
6,1,1,3,2,2,0.643431635,Naïve
6,1,4,6,2,2,0.631578947,Adaptive
6,1,1,4,3,5,0.529411765,Adaptive
6,1,4,8,2,3,0.697368421,Adaptive
6,1,1,3,4,5,0.652631579,Naïve
6,1,4,8,1,2,0.593650794,Adaptive
6,1,1,8,1,2,0.670731707,Adaptive
6,1,2,8,1,1,0.658227848,Adaptive
6,1,4,3,3,3,0.614084507,Naïve
6,1,1,4,1,1,0.336661912,Adaptive
