Participant,DoF,Contents,Codecs,Bitrates,Scores,HRScores,DMOS,Content,Codec,Bitrate,PcqmAvg,p2pointMSEPSNR,p2planeMSEPSNR,YPSNR,UPSNR,VPSNR
2,1,2,3,4,2,4,3,H2,A3,R3,0.01109318,17.91339744,22.6126656,32.66437364,31.75725868,30.75902208
2,1,2,3,5,2,4,3,H2,A3,R4,0.00509718,13.1699,16.29100942,26.87633634,33.849822,32.83728228
2,1,3,2,2,1,4,2,H3,A2,R1,0.01196244,15.2127756,18.5996111,29.8488841,33.8232986,33.43706784
2,1,3,2,3,2,4,3,H3,A2,R2,0.0079172,16.77028635,22.20972138,34.7838358,38.02836015,36.1791255
2,1,3,2,4,3,4,4,H3,A2,R3,0.00547657,18.5684796,23.84237884,39.59104842,39.1840211,37.7549608
2,1,3,2,5,4,4,5,H3,A2,R4,0.003051862,4.75733115,5.567281632,21.8686694,26.319408,25.54699476
2,1,3,3,2,1,4,2,H3,A3,R1,0.02229976,5.719316328,10.62793595,25.35598296,27.9217152,27.51768558
2,1,3,3,3,1,4,2,H3,A3,R2,0.01768866,11.056896,16.431121,29.16983916,30.93899788,28.4784864
2,1,3,3,4,2,4,3,H3,A3,R3,0.01295152,17.21773152,21.7258944,30.7239158,32.08131234,29.25122688
2,1,3,3,5,3,4,4,H3,A3,R4,0.00650788,12.774803,16.29100942,25.54582464,31.526795,30.90567744
2,1,4,2,2,1,3,3,H4,A2,R1,0.01159416,15.0591112,18.78940305,30.16308288,33.1330272,33.08876505
2,1,4,2,3,3,3,5,H4,A2,R2,0.006724786,16.94681568,21.98538076,34.4288987,36.49186075,35.440776
2,1,4,2,4,3,3,5,H4,A2,R3,0.004577594,19.15485264,23.84237884,38.78306784,37.98451025,38.54980208
2,1,4,2,5,4,3,6,H4,A2,R4,0.002609706,4.75733115,5.509289115,21.6432192,27.1505472,25.0202526
2,1,4,3,2,1,3,3,H4,A3,R1,0.01599418,5.660354304,10.40880325,24.5797794,28.2125664,26.95610016
2,1,4,3,3,1,3,3,H4,A3,R2,0.01227278,11.287248,16.092335,28.28590464,30.93899788,28.7751373
2,1,4,3,4,2,3,4,H4,A3,R3,0.009054088,16.86989856,21.7258944,31.69414472,30.7850977,28.6481088
2,1,4,3,5,4,3,6,H4,A3,R4,0.003859388,12.643104,16.29100942,26.07802932,31.526795,30.5837433
3,1,1,2,2,2,1,6,H1,A2,R1,0.01112868,13.1699,16.1393,27.1533,33.1861,32.5186
3,1,1,2,3,3,1,7,H1,A2,R2,0.006869816,16.1752,19.9781,32.0611,35.581,35.1821
3,1,1,2,4,4,1,8,H1,A2,R3,0.004954706,18.1989,22.8919,37.3618,39.6005,38.8605
3,1,1,2,5,3,1,7,H1,A2,R4,0.00291451,19.7432,25.0814,40.8071,42.0881,40.9712
3,1,1,3,2,1,1,5,H1,A3,R1,0.01986482,5.0583,5.85783,23.7316,28.859,26.8746
3,1,1,3,3,1,1,5,H1,A3,R2,0.01250276,5.95576,11.5333,26.1348,30.297,28.3629
3,1,1,3,4,3,1,7,H1,A3,R3,0.008048172,11.9975,17.285,30.0658,32.2147,30.2705
3,1,1,3,5,2,1,6,H1,A3,R4,0.003510562,18.1163,23.093,33.3412,33.0667,31.4124
3,1,2,2,2,2,3,4,H2,A2,R1,0.01328432,15.36644,18.78940305,30.47728166,35.5489771,34.48197621
3,1,2,2,3,3,3,5,H2,A2,R2,0.00815931,17.82946233,21.76104014,35.49371,39.1807347,36.917475
3,1,2,2,4,5,3,7,H2,A2,R3,0.005574714,19.15485264,23.84237884,41.61099987,39.983695,39.34464336
3,1,2,2,5,5,3,7,H2,A2,R4,0.003050374,5.05779417,5.683266666,21.8686694,27.9816864,27.12722124
3,1,2,3,2,1,3,3,H2,A3,R1,0.019778,5.778278352,11.06620135,26.39092104,29.08512,27.23689287
3,1,2,3,3,1,3,3,H2,A3,R2,0.01520364,11.402424,16.9393,30.05377368,31.25470194,29.9617409
3,1,2,3,4,2,3,4,H2,A3,R3,0.01109318,17.91339744,22.6126656,32.66437364,31.75725868,30.75902208
3,1,2,3,5,4,3,6,H2,A3,R4,0.00509718,13.1699,16.29100942,26.87633634,33.849822,32.83728228
3,1,3,2,2,3,2,6,H3,A2,R1,0.01196244,15.2127756,18.5996111,29.8488841,33.8232986,33.43706784
3,1,3,2,3,2,2,5,H3,A2,R2,0.0079172,16.77028635,22.20972138,34.7838358,38.02836015,36.1791255
3,1,3,2,4,3,2,6,H3,A2,R3,0.00547657,18.5684796,23.84237884,39.59104842,39.1840211,37.7549608
3,1,3,2,5,4,2,7,H3,A2,R4,0.003051862,4.75733115,5.567281632,21.8686694,26.319408,25.54699476
3,1,3,3,2,1,2,4,H3,A3,R1,0.02229976,5.719316328,10.62793595,25.35598296,27.9217152,27.51768558
3,1,3,3,3,1,2,4,H3,A3,R2,0.01768866,11.056896,16.431121,29.16983916,30.93899788,28.4784864
3,1,3,3,4,1,2,4,H3,A3,R3,0.01295152,17.21773152,21.7258944,30.7239158,32.08131234,29.25122688
3,1,3,3,5,2,2,5,H3,A3,R4,0.00650788,12.774803,16.29100942,25.54582464,31.526795,30.90567744
3,1,4,2,2,2,4,3,H4,A2,R1,0.01159416,15.0591112,18.78940305,30.16308288,33.1330272,33.08876505
3,1,4,2,3,3,4,4,H4,A2,R2,0.006724786,16.94681568,21.98538076,34.4288987,36.49186075,35.440776
3,1,4,2,4,2,4,3,H4,A2,R3,0.004577594,19.15485264,23.84237884,38.78306784,37.98451025,38.54980208
3,1,4,2,5,3,4,4,H4,A2,R4,0.002609706,4.75733115,5.509289115,21.6432192,27.1505472,25.0202526
3,1,4,3,2,1,4,2,H4,A3,R1,0.01599418,5.660354304,10.40880325,24.5797794,28.2125664,26.95610016
3,1,4,3,3,2,4,3,H4,A3,R2,0.01227278,11.287248,16.092335,28.28590464,30.93899788,28.7751373
3,1,4,3,4,2,4,3,H4,A3,R3,0.009054088,16.86989856,21.7258944,31.69414472,30.7850977,28.6481088
3,1,4,3,5,3,4,4,H4,A3,R4,0.003859388,12.643104,16.29100942,26.07802932,31.526795,30.5837433
4,1,1,2,2,2,3,4,H1,A2,R1,0.01112868,13.1699,16.1393,27.1533,33.1861,32.5186
4,1,1,2,3,3,3,5,H1,A2,R2,0.006869816,16.1752,19.9781,32.0611,35.581,35.1821
4,1,1,2,4,2,3,4,H1,A2,R3,0.004954706,18.1989,22.8919,37.3618,39.6005,38.8605
4,1,1,2,5,3,3,5,H1,A2,R4,0.00291451,19.7432,25.0814,40.8071,42.0881,40.9712
4,1,1,3,2,1,3,3,H1,A3,R1,0.01986482,5.0583,5.85783,23.7316,28.859,26.8746
4,1,1,3,3,1,3,3,H1,A3,R2,0.01250276,5.95576,11.5333,26.1348,30.297,28.3629
4,1,1,3,4,2,3,4,H1,A3,R3,0.008048172,11.9975,17.285,30.0658,32.2147,30.2705
4,1,1,3,5,3,3,5,H1,A3,R4,0.003510562,18.1163,23.093,33.3412,33.0667,31.4124
4,1,2,2,2,2,4,3,H2,A2,R1,0.01328432,15.36644,18.78940305,30.47728166,35.5489771,34.48197621
4,1,2,2,3,2,4,3,H2,A2,R2,0.00815931,17.82946233,21.76104014,35.49371,39.1807347,36.917475
4,1,2,2,4,4,4,5,H2,A2,R3,0.005574714,19.15485264,23.84237884,41.61099987,39.983695,39.34464336
4,1,2,2,5,3,4,4,H2,A2,R4,0.003050374,5.05779417,5.683266666,21.8686694,27.9816864,27.12722124
4,1,2,3,2,1,4,2,H2,A3,R1,0.019778,5.778278352,11.06620135,26.39092104,29.08512,27.23689287
4,1,2,3,3,1,4,2,H2,A3,R2,0.01520364,11.402424,16.9393,30.05377368,31.25470194,29.9617409
4,1,2,3,4,2,4,3,H2,A3,R3,0.01109318,17.91339744,22.6126656,32.66437364,31.75725868,30.75902208
4,1,2,3,5,3,4,4,H2,A3,R4,0.00509718,13.1699,16.29100942,26.87633634,33.849822,32.83728228
4,1,3,2,2,2,2,5,H3,A2,R1,0.01196244,15.2127756,18.5996111,29.8488841,33.8232986,33.43706784
4,1,3,2,3,3,2,6,H3,A2,R2,0.0079172,16.77028635,22.20972138,34.7838358,38.02836015,36.1791255
4,1,3,2,4,3,2,6,H3,A2,R3,0.00547657,18.5684796,23.84237884,39.59104842,39.1840211,37.7549608
4,1,3,2,5,3,2,6,H3,A2,R4,0.003051862,4.75733115,5.567281632,21.8686694,26.319408,25.54699476
4,1,3,3,2,1,2,4,H3,A3,R1,0.02229976,5.719316328,10.62793595,25.35598296,27.9217152,27.51768558
4,1,3,3,3,2,2,5,H3,A3,R2,0.01768866,11.056896,16.431121,29.16983916,30.93899788,28.4784864
4,1,3,3,4,3,2,6,H3,A3,R3,0.01295152,17.21773152,21.7258944,30.7239158,32.08131234,29.25122688
4,1,3,3,5,2,2,5,H3,A3,R4,0.00650788,12.774803,16.29100942,25.54582464,31.526795,30.90567744
4,1,4,2,2,1,5,1,H4,A2,R1,0.01159416,15.0591112,18.78940305,30.16308288,33.1330272,33.08876505
4,1,4,2,3,4,5,4,H4,A2,R2,0.006724786,16.94681568,21.98538076,34.4288987,36.49186075,35.440776
4,1,4,2,4,5,5,5,H4,A2,R3,0.004577594,19.15485264,23.84237884,38.78306784,37.98451025,38.54980208
4,1,4,2,5,4,5,4,H4,A2,R4,0.002609706,4.75733115,5.509289115,21.6432192,27.1505472,25.0202526
4,1,4,3,2,1,5,1,H4,A3,R1,0.01599418,5.660354304,10.40880325,24.5797794,28.2125664,26.95610016
4,1,4,3,3,2,5,2,H4,A3,R2,0.01227278,11.287248,16.092335,28.28590464,30.93899788,28.7751373
4,1,4,3,4,4,5,4,H4,A3,R3,0.009054088,16.86989856,21.7258944,31.69414472,30.7850977,28.6481088
4,1,4,3,5,5,5,5,H4,A3,R4,0.003859388,12.643104,16.29100942,26.07802932,31.526795,30.5837433
5,1,1,2,2,3,4,4,H1,A2,R1,0.01112868,13.1699,16.1393,27.1533,33.1861,32.5186
5,1,1,2,3,3,4,4,H1,A2,R2,0.006869816,16.1752,19.9781,32.0611,35.581,35.1821
5,1,1,2,4,4,4,5,H1,A2,R3,0.004954706,18.1989,22.8919,37.3618,39.6005,38.8605
5,1,1,2,5,4,4,5,H1,A2,R4,0.00291451,19.7432,25.0814,40.8071,42.0881,40.9712
5,1,1,3,2,1,4,2,H1,A3,R1,0.01986482,5.0583,5.85783,23.7316,28.859,26.8746
5,1,1,3,3,2,4,3,H1,A3,R2,0.01250276,5.95576,11.5333,26.1348,30.297,28.3629
5,1,1,3,4,3,4,4,H1,A3,R3,0.008048172,11.9975,17.285,30.0658,32.2147,30.2705
5,1,1,3,5,5,4,6,H1,A3,R4,0.003510562,18.1163,23.093,33.3412,33.0667,31.4124
5,1,2,2,2,3,5,3,H2,A2,R1,0.01328432,15.36644,18.78940305,30.47728166,35.5489771,34.48197621
5,1,2,2,3,4,5,4,H2,A2,R2,0.00815931,17.82946233,21.76104014,35.49371,39.1807347,36.917475
5,1,2,2,4,5,5,5,H2,A2,R3,0.005574714,19.15485264,23.84237884,41.61099987,39.983695,39.34464336
5,1,2,2,5,5,5,5,H2,A2,R4,0.003050374,5.05779417,5.683266666,21.8686694,27.9816864,27.12722124
5,1,2,3,2,1,5,1,H2,A3,R1,0.019778,5.778278352,11.06620135,26.39092104,29.08512,27.23689287
5,1,2,3,3,2,5,2,H2,A3,R2,0.01520364,11.402424,16.9393,30.05377368,31.25470194,29.9617409
5,1,2,3,4,3,5,3,H2,A3,R3,0.01109318,17.91339744,22.6126656,32.66437364,31.75725868,30.75902208
5,1,2,3,5,4,5,4,H2,A3,R4,0.00509718,13.1699,16.29100942,26.87633634,33.849822,32.83728228
5,1,3,2,2,3,5,3,H3,A2,R1,0.01196244,15.2127756,18.5996111,29.8488841,33.8232986,33.43706784
5,1,3,2,3,3,5,3,H3,A2,R2,0.0079172,16.77028635,22.20972138,34.7838358,38.02836015,36.1791255
5,1,3,2,4,4,5,4,H3,A2,R3,0.00547657,18.5684796,23.84237884,39.59104842,39.1840211,37.7549608
5,1,3,2,5,4,5,4,H3,A2,R4,0.003051862,4.75733115,5.567281632,21.8686694,26.319408,25.54699476
5,1,3,3,2,1,5,1,H3,A3,R1,0.02229976,5.719316328,10.62793595,25.35598296,27.9217152,27.51768558
5,1,3,3,3,1,5,1,H3,A3,R2,0.01768866,11.056896,16.431121,29.16983916,30.93899788,28.4784864
5,1,3,3,4,2,5,2,H3,A3,R3,0.01295152,17.21773152,21.7258944,30.7239158,32.08131234,29.25122688
5,1,3,3,5,3,5,3,H3,A3,R4,0.00650788,12.774803,16.29100942,25.54582464,31.526795,30.90567744
5,1,4,2,2,2,5,2,H4,A2,R1,0.01159416,15.0591112,18.78940305,30.16308288,33.1330272,33.08876505
5,1,4,2,3,3,5,3,H4,A2,R2,0.006724786,16.94681568,21.98538076,34.4288987,36.49186075,35.440776
5,1,4,2,4,5,5,5,H4,A2,R3,0.004577594,19.15485264,23.84237884,38.78306784,37.98451025,38.54980208
5,1,4,2,5,4,5,4,H4,A2,R4,0.002609706,4.75733115,5.509289115,21.6432192,27.1505472,25.0202526
5,1,4,3,2,1,5,1,H4,A3,R1,0.01599418,5.660354304,10.40880325,24.5797794,28.2125664,26.95610016
5,1,4,3,3,1,5,1,H4,A3,R2,0.01227278,11.287248,16.092335,28.28590464,30.93899788,28.7751373
5,1,4,3,4,2,5,2,H4,A3,R3,0.009054088,16.86989856,21.7258944,31.69414472,30.7850977,28.6481088
5,1,4,3,5,3,5,3,H4,A3,R4,0.003859388,12.643104,16.29100942,26.07802932,31.526795,30.5837433
6,1,1,2,2,3,4,4,H1,A2,R1,0.01112868,13.1699,16.1393,27.1533,33.1861,32.5186
6,1,1,2,3,4,4,5,H1,A2,R2,0.006869816,16.1752,19.9781,32.0611,35.581,35.1821
6,1,1,2,4,5,4,6,H1,A2,R3,0.004954706,18.1989,22.8919,37.3618,39.6005,38.8605
6,1,1,2,5,4,4,5,H1,A2,R4,0.00291451,19.7432,25.0814,40.8071,42.0881,40.9712
6,1,1,3,2,1,4,2,H1,A3,R1,0.01986482,5.0583,5.85783,23.7316,28.859,26.8746
6,1,1,3,3,1,4,2,H1,A3,R2,0.01250276,5.95576,11.5333,26.1348,30.297,28.3629
6,1,1,3,4,3,4,4,H1,A3,R3,0.008048172,11.9975,17.285,30.0658,32.2147,30.2705
6,1,1,3,5,3,4,4,H1,A3,R4,0.003510562,18.1163,23.093,33.3412,33.0667,31.4124
6,1,2,2,2,2,5,2,H2,A2,R1,0.01328432,15.36644,18.78940305,30.47728166,35.5489771,34.48197621
6,1,2,2,3,4,5,4,H2,A2,R2,0.00815931,17.82946233,21.76104014,35.49371,39.1807347,36.917475
6,1,2,2,4,5,5,5,H2,A2,R3,0.005574714,19.15485264,23.84237884,41.61099987,39.983695,39.34464336
6,1,2,2,5,5,5,5,H2,A2,R4,0.003050374,5.05779417,5.683266666,21.8686694,27.9816864,27.12722124
6,1,2,3,2,1,5,1,H2,A3,R1,0.019778,5.778278352,11.06620135,26.39092104,29.08512,27.23689287
6,1,2,3,3,2,5,2,H2,A3,R2,0.01520364,11.402424,16.9393,30.05377368,31.25470194,29.9617409
6,1,2,3,4,2,5,2,H2,A3,R3,0.01109318,17.91339744,22.6126656,32.66437364,31.75725868,30.75902208
6,1,2,3,5,4,5,4,H2,A3,R4,0.00509718,13.1699,16.29100942,26.87633634,33.849822,32.83728228
6,1,3,2,2,3,4,4,H3,A2,R1,0.01196244,15.2127756,18.5996111,29.8488841,33.8232986,33.43706784
6,1,3,2,3,3,4,4,H3,A2,R2,0.0079172,16.77028635,22.20972138,34.7838358,38.02836015,36.1791255
6,1,3,2,4,4,4,5,H3,A2,R3,0.00547657,18.5684796,23.84237884,39.59104842,39.1840211,37.7549608
6,1,3,2,5,4,4,5,H3,A2,R4,0.003051862,4.75733115,5.567281632,21.8686694,26.319408,25.54699476
6,1,3,3,2,1,4,2,H3,A3,R1,0.02229976,5.719316328,10.62793595,25.35598296,27.9217152,27.51768558
6,1,3,3,3,2,4,3,H3,A3,R2,0.01768866,11.056896,16.431121,29.16983916,30.93899788,28.4784864
6,1,3,3,4,3,4,4,H3,A3,R3,0.01295152,17.21773152,21.7258944,30.7239158,32.08131234,29.25122688
6,1,3,3,5,3,4,4,H3,A3,R4,0.00650788,12.774803,16.29100942,25.54582464,31.526795,30.90567744
6,1,4,2,2,2,5,2,H4,A2,R1,0.01159416,15.0591112,18.78940305,30.16308288,33.1330272,33.08876505
6,1,4,2,3,3,5,3,H4,A2,R2,0.006724786,16.94681568,21.98538076,34.4288987,36.49186075,35.440776
6,1,4,2,4,4,5,4,H4,A2,R3,0.004577594,19.15485264,23.84237884,38.78306784,37.98451025,38.54980208
6,1,4,2,5,5,5,5,H4,A2,R4,0.002609706,4.75733115,5.509289115,21.6432192,27.1505472,25.0202526
6,1,4,3,2,1,5,1,H4,A3,R1,0.01599418,5.660354304,10.40880325,24.5797794,28.2125664,26.95610016
6,1,4,3,3,2,5,2,H4,A3,R2,0.01227278,11.287248,16.092335,28.28590464,30.93899788,28.7751373
6,1,4,3,4,3,5,3,H4,A3,R3,0.009054088,16.86989856,21.7258944,31.69414472,30.7850977,28.6481088
6,1,4,3,5,4,5,4,H4,A3,R4,0.003859388,12.643104,16.29100942,26.07802932,31.526795,30.5837433
7,1,1,2,2,2,4,3,H1,A2,R1,0.01112868,13.1699,16.1393,27.1533,33.1861,32.5186
7,1,1,2,3,3,4,4,H1,A2,R2,0.006869816,16.1752,19.9781,32.0611,35.581,35.1821
7,1,1,2,4,3,4,4,H1,A2,R3,0.004954706,18.1989,22.8919,37.3618,39.6005,38.8605
7,1,1,2,5,4,4,5,H1,A2,R4,0.00291451,19.7432,25.0814,40.8071,42.0881,40.9712
7,1,1,3,2,1,4,2,H1,A3,R1,0.01986482,5.0583,5.85783,23.7316,28.859,26.8746
7,1,1,3,3,1,4,2,H1,A3,R2,0.01250276,5.95576,11.5333,26.1348,30.297,28.3629
7,1,1,3,4,3,4,4,H1,A3,R3,0.008048172,11.9975,17.285,30.0658,32.2147,30.2705
7,1,1,3,5,4,4,5,H1,A3,R4,0.003510562,18.1163,23.093,33.3412,33.0667,31.4124
7,1,2,2,2,3,4,4,H2,A2,R1,0.01328432,15.36644,18.78940305,30.47728166,35.5489771,34.48197621
7,1,2,2,3,5,4,6,H2,A2,R2,0.00815931,17.82946233,21.76104014,35.49371,39.1807347,36.917475
7,1,2,2,4,3,4,4,H2,A2,R3,0.005574714,19.15485264,23.84237884,41.61099987,39.983695,39.34464336
7,1,2,2,5,5,4,6,H2,A2,R4,0.003050374,5.05779417,5.683266666,21.8686694,27.9816864,27.12722124
7,1,2,3,2,1,4,2,H2,A3,R1,0.019778,5.778278352,11.06620135,26.39092104,29.08512,27.23689287
7,1,2,3,3,2,4,3,H2,A3,R2,0.01520364,11.402424,16.9393,30.05377368,31.25470194,29.9617409
7,1,2,3,4,3,4,4,H2,A3,R3,0.01109318,17.91339744,22.6126656,32.66437364,31.75725868,30.75902208
7,1,2,3,5,4,4,5,H2,A3,R4,0.00509718,13.1699,16.29100942,26.87633634,33.849822,32.83728228
7,1,3,2,2,2,5,2,H3,A2,R1,0.01196244,15.2127756,18.5996111,29.8488841,33.8232986,33.43706784
7,1,3,2,3,4,5,4,H3,A2,R2,0.0079172,16.77028635,22.20972138,34.7838358,38.02836015,36.1791255
7,1,3,2,4,5,5,5,H3,A2,R3,0.00547657,18.5684796,23.84237884,39.59104842,39.1840211,37.7549608
7,1,3,2,5,4,5,4,H3,A2,R4,0.003051862,4.75733115,5.567281632,21.8686694,26.319408,25.54699476
7,1,3,3,2,1,5,1,H3,A3,R1,0.02229976,5.719316328,10.62793595,25.35598296,27.9217152,27.51768558
7,1,3,3,3,1,5,1,H3,A3,R2,0.01768866,11.056896,16.431121,29.16983916,30.93899788,28.4784864
7,1,3,3,4,2,5,2,H3,A3,R3,0.01295152,17.21773152,21.7258944,30.7239158,32.08131234,29.25122688
7,1,3,3,5,4,5,4,H3,A3,R4,0.00650788,12.774803,16.29100942,25.54582464,31.526795,30.90567744
