Participant,DoF,Contents,Codecs,Bitrates,Scores,HRScores,DMOS
1,1,2,6,3,3,5,3
1,1,1,8,1,1,5,1
1,1,4,6,1,1,5,1
1,1,3,8,1,1,5,1
1,1,1,4,1,1,5,1
1,1,3,3,1,1,5,1
1,1,4,2,1,3,5,3
1,1,1,3,1,1,5,1
1,1,2,3,2,2,5,2
1,1,4,8,2,4,5,4
1,1,2,8,4,5,5,5
1,1,4,3,2,3,5,3
1,1,1,8,4,4,5,4
1,1,3,8,3,5,5,5
1,1,1,4,3,5,5,5
1,1,4,8,1,4,5,4
1,1,3,6,3,5,5,5
1,1,4,2,2,5,5,5
1,1,1,2,1,3,5,3
1,1,3,2,4,5,5,5
1,1,1,4,2,3,5,3
1,1,4,8,3,5,5,5
1,1,3,2,3,4,5,4
1,1,2,3,4,4,5,4
1,1,3,2,2,3,5,3
1,1,4,3,1,1,5,1
1,1,2,4,3,2,5,2
1,1,3,4,2,2,5,2
1,1,4,3,3,3,5,3
1,1,1,3,4,4,5,4
1,1,4,6,2,3,5,3
1,1,3,4,3,3,5,3
1,1,4,2,3,5,5,5
1,1,2,2,1,3,5,3
1,1,1,4,4,5,5,5
1,1,2,6,4,4,5,4
1,1,1,8,2,2,5,2
1,1,4,6,4,5,5,5
1,1,1,3,2,2,5,2
1,1,2,8,1,1,5,1
1,1,3,6,1,2,5,2
1,1,2,3,3,3,5,3
1,1,3,3,2,2,5,2
1,1,4,4,3,4,5,4
1,1,3,6,4,5,5,5
1,1,4,8,4,5,5,5
1,1,2,3,1,1,5,1
1,1,1,6,2,4,5,4
1,1,3,3,4,4,5,4
1,1,1,2,2,3,5,3
1,1,4,3,4,4,5,4
1,1,3,8,2,3,5,3
1,1,4,4,2,2,5,2
1,1,2,2,4,5,5,5
1,1,3,6,2,2,5,2
1,1,2,4,2,2,5,2
1,1,4,2,4,5,5,5
1,1,2,8,2,3,5,3
1,1,4,6,3,4,5,4
1,1,3,3,3,3,5,3
1,1,1,2,3,5,5,5
1,1,4,4,1,3,5,3
1,1,2,2,2,4,5,4
1,1,3,8,4,3,5,3
1,1,1,6,4,4,5,4
1,1,3,4,4,4,5,4
1,1,2,4,4,5,5,5
1,1,4,4,4,4,5,4
1,1,2,4,1,1,5,1
1,1,1,6,1,2,5,2
1,1,2,6,2,2,5,2
1,1,3,4,1,2,5,2
1,1,1,2,4,4,5,4
1,1,3,2,1,3,5,3
1,1,2,6,1,1,5,1
1,1,1,8,3,4,5,4
1,1,2,8,3,4,5,4
1,1,1,3,3,3,5,3
1,1,2,2,3,5,5,5
1,1,1,6,3,3,5,3
2,1,4,4,2,2,5,2
2,1,3,3,2,4,5,4
2,1,1,2,3,5,4,6
2,1,3,4,4,5,5,5
2,1,4,6,3,4,5,4
2,1,1,6,2,3,4,4
2,1,2,2,4,5,3,7
2,1,3,6,2,2,5,2
2,1,4,8,4,3,5,3
2,1,1,2,2,4,4,5
2,1,2,2,3,4,3,6
2,1,4,4,1,2,5,2
2,1,1,3,3,2,4,3
2,1,4,2,4,3,5,3
2,1,2,4,2,2,3,4
2,1,3,3,4,3,5,3
2,1,1,6,4,3,4,4
2,1,2,6,2,2,3,4
2,1,1,8,3,3,4,4
2,1,2,3,1,2,3,4
2,1,1,6,3,3,4,4
2,1,2,8,2,3,3,5
2,1,3,8,2,3,5,3
2,1,2,6,1,2,3,4
2,1,1,6,1,3,4,4
2,1,2,2,2,3,3,5
2,1,4,4,3,3,5,3
2,1,2,4,1,1,3,3
2,1,2,3,3,3,3,5
2,1,3,3,3,3,5,3
2,1,4,3,4,3,5,3
2,1,3,6,4,5,5,5
2,1,2,8,3,3,3,5
2,1,3,2,1,2,5,2
2,1,3,6,1,1,5,1
2,1,4,4,4,3,5,3
2,1,3,4,1,1,5,1
2,1,2,4,4,5,3,7
2,1,3,8,4,3,5,3
2,1,1,2,4,3,4,4
2,1,1,3,4,3,4,4
2,1,4,8,2,2,5,2
2,1,2,6,3,4,3,6
2,1,4,6,1,1,5,1
2,1,3,2,4,4,5,4
2,1,1,3,2,1,4,2
2,1,3,2,3,5,5,5
2,1,1,8,1,2,4,3
2,1,2,3,4,3,3,5
2,1,4,8,3,3,5,3
2,1,1,4,2,1,4,2
